173 -> 1187 # ('tile.bop.longGrass', 'BiomesOPlenty:longGrass', 'namespace') 
182 -> 1915 # ('None', '1.2.5/RedPower2 tile.rpframe/GalacticraftCore:tile.airLockFrame', 'forced') 
186 -> 1675 # ('tile.bop.holyStone', 'chisel:holystone', 'manual') 
187 -> 2385 # ('tile.bop.generic.holy_dirt', 'GalaxySpace:barnardaCdirt', 'manual') 
188 -> 1161 # ('tile.bop.ash', 'BiomesOPlenty:ash', 'namespace') 
189 -> 1179 # ('tile.bop.generic.ash_stone', 'BiomesOPlenty:ashStone', 'manual') 
190 -> 1209 # ('tile.bop.generic.crag_rock', 'BiomesOPlenty:cragRock', 'manual') 
191 -> 1159 # ('tile.bop.generic.dried_dirt', 'BiomesOPlenty:driedDirt', 'manual') 
192 -> 1205 # ('tile.bop.generic.hard_dirt', 'BiomesOPlenty:hardDirt', 'manual') 
193 -> 1180 # ('tile.bop.generic.hard_ice', 'BiomesOPlenty:hardIce', 'manual') 
194 -> 1204 # ('tile.bop.generic.hard_sand', 'BiomesOPlenty:hardSand', 'manual') 
195 -> 1675 # ('tile.bop.holyGrass', 'chisel:holystone', 'manual') 
197 -> 1158 # ('tile.bop.mud', 'BiomesOPlenty:mud', 'namespace') 
198 -> 1186 # ('tile.bop.originGrass', 'BiomesOPlenty:originGrass', 'namespace') 
199 -> 1160 # ('tile.bop.redRocks', 'BiomesOPlenty:rocks', 'manual') 
200 -> 575 # ('tile.blockCustomOre', 'Thaumcraft:blockCustomOre', 'anyspace') 
208 -> 2510 # ('None', '1.2.5/Railcraft tile.mill/ihl:wireMill', 'forced') 
213 -> 3289 # ('None', '1.2.5/Plugins for Forestry tile.Thatch/thebetweenlands:thatch', 'forced') 
223 -> 1929 # ('tile.moonBlock', 'GalacticraftCore:tile.moonBlock', 'anyspace') 
224 -> 1918 # ('tile.spaceStationBase', 'GalacticraftCore:tile.spaceStationBase', 'anyspace') 
225 -> 1935 # ('tile.treasureChest', 'GalacticraftCore:tile.treasureChest', 'anyspace') 
230 -> 2093 # ('tile.MoCDirt', 'MoCreatures:MoCDirt', 'namespace') 
231 -> 2092 # ('tile.MoCGrass', 'MoCreatures:MoCGrass', 'namespace') 
232 -> 2091 # ('tile.MoCStone', 'MoCreatures:MoCStone', 'namespace') 
241 -> 3749 # ('tile.BlockLimbo', 'dimdoors:Unraveled Fabric', 'manual') 
242 -> 3752 # ('tile.blockDimWallPerm', 'dimdoors:Fabric of RealityPerm', 'manual') 
244 -> 3959 # ('None', '1.2.5/BuildCraft tile.blockMiningTip/miscutils:blockMiningExplosives', 'forced') 
245 -> 188 # ('blockOreUran', 'IC2:blockOreUran', 'unprefix') 
249 -> 5049 # ('tile.apatite', 'Forestry:apatite', 'anyspace') 
250 -> 3514 # ('tile.oreCopper', 'erebus:oreCopper', 'anyspace') 
251 -> 1270 # ('tile.extrabiomes.redrock', 'ExtrabiomesXL:terrain_blocks1', 'manual') 
252 -> 1261 # ('tile.extrabiomes.crackedsand', 'ExtrabiomesXL:terrain_blocks2', 'manual') 
254 -> 1514 # ('tile.oilMoving', 'BuildCraft|Energy:blockOil', 'manual') 
255 -> 1514 # ('tile.oilStill', 'BuildCraft|Energy:blockOil', 'manual') 
390 -> 140 # ('None', '1.2.5/tile.plantpot/minecraft:flower_pot', 'forced') 
500 -> 1521 # ('tile.architectBlock', 'BuildCraft|Builders:architectBlock', 'anyspace') 
501 -> 2004 # ('tile.null', 'BuildCraft assemblyTable.id/OpenComputers:assembler', 'direct') 
502 -> 1503 # ('tile.autoWorkbenchBlock', 'BuildCraft|Factory:autoWorkbenchBlock', 'anyspace') 
503 -> 1522 # ('tile.libraryBlock', 'BuildCraft|Builders:libraryBlock', 'anyspace') 
# 504 -> (None, 'tile.builderBlock', 'tile.builderBlock', 'no match')
505 -> 1502 # ('tile.plainPipeBlock', 'BuildCraft|Factory:plainPipeBlock', 'anyspace') 
506 -> 1496 # ('tile.engineBlock', 'BuildCraft|Core:engineBlock', 'anyspace') 
507 -> 1518 # ('tile.fillerBlock', 'BuildCraft|Builders:fillerBlock', 'anyspace') 
508 -> 1519 # ('tile.frameBlock', 'BuildCraft|Builders:frameBlock', 'anyspace') 
509 -> 1508 # ('tile.blockHopper', 'BuildCraft|Factory:blockHopper', 'anyspace') 
510 -> 1509 # ('tile.laserBlock', 'BuildCraft|Silicon:laserBlock', 'anyspace') 
511 -> 1497 # ('tile.markerBlock', 'BuildCraft|Core:markerBlock', 'anyspace') 
512 -> 1501 # ('tile.miningWellBlock', 'BuildCraft|Factory:miningWellBlock', 'anyspace') 
513 -> 1498 # ('tile.pathMarkerBlock', 'BuildCraft|Core:pathMarkerBlock', 'anyspace') 
514 -> 1500 # ('tile.null_', 'BuildCraft pipe.id/BuildCraft|Transport:pipeBlock', 'direct') 
515 -> 1505 # ('tile.pumpBlock', 'BuildCraft|Factory:pumpBlock', 'anyspace') 
516 -> 1517 # ('tile.machineBlock', 'BuildCraft|Builders:machineBlock', 'manual') 
517 -> 1507 # ('tile.refineryBlock', 'BuildCraft|Factory:refineryBlock', 'anyspace') 
518 -> 1504 # ('tile.tankBlock', 'BuildCraft|Factory:tankBlock', 'manual') 
519 -> 1494 # ('tile.eternalSpring', 'BuildCraft|Core:eternalSpring', 'anyspace') 
520 -> 1499 # ('tile.filteredBufferBlock', 'BuildCraft|Transport:filteredBufferBlock', 'anyspace') 
560 -> 166 # ('tile.fyriteOre', 'netherrocks:fyrite_ore', 'manual') 
561 -> 178 # ('tile.fyriteBlock', 'netherrocks:fyrite_block', 'manual') 
562 -> 167 # ('tile.malachiteOre', 'netherrocks:malachite_ore', 'manual') 
563 -> 179 # ('tile.malachiteBlock', 'netherrocks:malachite_block', 'manual') 
564 -> 168 # ('tile.ashstoneOre', 'netherrocks:ashstone_ore', 'manual') 
565 -> 180 # ('tile.ashstoneBlock', 'netherrocks:ashstone_block', 'manual') 
566 -> 169 # ('tile.illumeniteOre', 'netherrocks:illumenite_ore', 'manual') 
567 -> 181 # ('tile.illumeniteBlock', 'netherrocks:illumenite_block', 'manual') 
568 -> 176 # ('tile.dragonstoneOre', 'netherrocks:dragonstone_ore', 'manual') 
569 -> 182 # ('tile.dragonstoneBlock', 'netherrocks:dragonstone_block', 'manual') 
570 -> 177 # ('tile.argoniteOre', 'netherrocks:argonite_ore', 'manual') 
571 -> 183 # ('tile.argoniteBlock', 'netherrocks:argonite_block', 'manual') 
572 -> 1075 # ('tile.netherFurnace', 'Natura:NetherFurnace', 'anyspace') 
573 -> 184 # ('tile.netherFurnaceOn', 'netherrocks:nether_furnace', 'manual') 
# 580 -> (None, 'tile.null__', 'tile.null__', 'no match')
600 -> 196 # ('blockAlloy', 'IC2:blockAlloy', 'unprefix') 
601 -> 198 # ('blockAlloyGlass', 'IC2:blockAlloyGlass', 'unprefix') 
602 -> 230 # ('blockBarrel', 'IC2:blockBarrel', 'unprefix') 
603 -> 206 # ('blockCable', 'IC2:blockCable', 'unprefix') 
604 -> 229 # ('blockCrop', 'IC2:blockCrop', 'unprefix') 
605 -> 199 # ('tile.blockDoorAlloy', 'IC2:blockDoorAlloy', 'anyspace') 
606 -> 227 # ('blockDynamite', 'IC2:blockDynamite', 'unprefix') 
607 -> 228 # ('blockDynamiteRemote', 'IC2:blockDynamiteRemote', 'unprefix') 
608 -> 215 # ('blockElectric', 'IC2:blockElectric', 'unprefix') 
609 -> 195 # ('blockFenceIron', 'IC2:blockFenceIron', 'unprefix') 
610 -> 201 # ('blockFoam', 'IC2:blockFoam', 'unprefix') 
611 -> 209 # ('blockGenerator', 'IC2:blockGenerator', 'unprefix') 
612 -> 193 # ('blockHarz', 'IC2:blockHarz', 'unprefix') 
613 -> 225 # ('blockITNT', 'IC2:blockITNT', 'unprefix') 
614 -> 204 # ('blockIronScaffold', 'IC2:blockIronScaffold', 'unprefix') 
615 -> 221 # ('blockLuminator', 'IC2:blockLuminator', 'unprefix') 
616 -> 220 # ('blockLuminatorDark', 'IC2:blockLuminatorDark', 'unprefix') 
617 -> 217 # ('blockMachine', 'IC2:blockMachine', 'unprefix') 
618 -> 218 # ('blockMachine2', 'IC2:blockMachine2', 'unprefix') 
619 -> 205 # ('blockMetal', 'IC2:blockMetal', 'unprefix') 
620 -> 222 # ('blockMiningPipe', 'IC2:blockMiningPipe', 'unprefix') 
621 -> 223 # ('blockMiningTip', 'IC2:blockMiningTip', 'unprefix') 
622 -> 226 # ('blockNuke', 'IC2:blockNuke', 'unprefix') 
623 -> 224 # ('blockPersonal', 'IC2:blockPersonal', 'unprefix') 
624 -> 210 # ('blockReactorChamber', 'IC2:blockReactorChamber', 'unprefix') 
625 -> 191 # ('tile.blockRubLeaves', 'IC2:blockRubLeaves', 'anyspace') 
626 -> 192 # ('blockRubSapling', 'IC2:blockRubSapling', 'unprefix') 
627 -> 190 # ('blockRubWood', 'IC2:blockRubWood', 'unprefix') 
628 -> 194 # ('blockRubber', 'IC2:blockRubber', 'unprefix') 
629 -> 203 # ('blockScaffold', 'IC2:blockScaffold', 'unprefix') 
630 -> 202 # ('blockWall', 'IC2:blockWall', 'unprefix') 
645 -> 242 # ('tile.null___', 'Immibis AdvancedMachines/AdvancedMachines:advancedmachines.block', 'direct') 
649 -> 3737 # ('tile.CompactSolar', 'CompactSolars:CompactSolarBlock', 'manual') 
# 650 -> (None, 'tile.null____', 'tile.null____', 'no match')
665 -> 3963 # ('tile.blockThermalMonitor', 'IC2NuclearControl:blockNuclearControlMain', 'manual') 
# 680 -> (None, 'tile.MFFSCapacitor', 'tile.MFFSCapacitor', 'no match')
# 681 -> (None, 'tile.MFFSDefenseStation', 'tile.MFFSDefenseStation', 'no match')
# 682 -> (None, 'tile.MFFSExtractor', 'tile.MFFSExtractor', 'no match')
683 -> 0 # ('tile.null_____', 'ModularForceFieldSystem MFFSFieldblock/air', 'direct') 
# 684 -> (None, 'tile.MFFSSecureStorage', 'tile.MFFSSecureStorage', 'no match')
# 685 -> (None, 'tile.MFFSProjector', 'tile.MFFSProjector', 'no match')
# 686 -> (None, 'tile.MFFSSecurityStation', 'tile.MFFSSecurityStation', 'no match')
687 -> 2334 # ('tile.MFFSForceEnergyConverter', 'GalaxySpace:convertersurface', 'manual') 
688 -> 2422 # ('tile.MFFSMonazitOre', 'ihl:oreDatolite', 'manual') 
690 -> 2320 # ('tile.MFFSControlSystem', 'factorization:ArtifactForge', 'manual') 
700 -> 1970 # ('tile.BlockMetaID_Block', 'gregtech:gt.blockcasings4', 'manual') 
701 -> 1971 # ('tile.GT_LightSource', 'gregtech:gt.blockcasings5', 'manual') 
702 -> 1966 # ('tile.BlockMetaID_Machine', 'gregtech:gt.blockmachines', 'manual') 
703 -> 1975 # ('tile.BlockMetaID_Ore', 'gregtech:gt.blockores', 'manual') 
704 -> 1977 # ('tile.BlockMetaID_Block2', 'gregtech:gt.blockmetal1', 'manual') 
720 -> 216 # ('tile.chargePad', 'IC2:blockChargepad', 'manual') 
